candidate_id,video_id,source_video,frame_id,timestamp_sec,scene,image_path,image_sha256,dhash,duplicate_group_id,duplicate_group_size,sampling_method,predicted_classes,coverage_tags,tag_source,stage19_overlap,selection_status,selection_reason,annotation_status,priority_score,blur_variance
aerial_frame_000000,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,0,0.0,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000000.jpg,86586894fd44b16c13c763e643ef4f478e408674b5ae5cfb01d98c1619e30b21,f2aab5d65691bcae,V2_FRAME_DUP_00728,1,SYSTEMATIC_TEMPORAL,car,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC;SYSTEMATIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,7.1,1062.819
aerial_frame_000004,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,4,0.133467,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000004.jpg,68d6345b13b8b97b49131fef2c80877955e96542b0b82da2ce4b4d4c4e09a34d,f2aab4d65611bcae,V2_FRAME_DUP_00729,2,HARD_NEGATIVE_CONTEXT,car,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,6.25,1047.963
aerial_frame_000007,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,7,0.233567,Aerial,data/interim/v2_targeted_annotation/mined/aerial_frame_000007.jpg,d1f9646cc4fe2b14484bbb1d50835307da4263a57bb82ef73535899ef065a194,f2aab5d65691bcae,V2_FRAME_DUP_00729,2,HARD_NEGATIVE_CONTEXT,car,AERIAL_SMALL_OBJECT;HARD_NEGATIVE;INTERSECTION,HEURISTIC,False,REJECTED_NEAR_DUPLICATE,DUPLICATE_REDUCED:V2_FRAME_DUP_00729,NOT_ANNOTATED,1.85,975.954
aerial_frame_000011,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,11,0.367033,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000011.jpg,b1c0d946e4acd51ae32dc6b0eb5d721371912c2ba27067fd836d06d42639eb7f,f2aab5d65693bcae,V2_FRAME_DUP_00730,1,HARD_NEGATIVE_CONTEXT,car;truck,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,6.4,978.598
aerial_frame_000015,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,15,0.5005,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000015.jpg,508829964107237f8883de79aa85a77cbe182d06245c3ebd8f4a7c9f92591934,f2aab5d65691bcae,V2_FRAME_DUP_00731,1,SYSTEMATIC_TEMPORAL,car;truck,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC;SYSTEMATIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,6.65,973.803
aerial_frame_000018,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,18,0.6006,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000018.jpg,92a961f48421853101ccd21aad4170ec665fd8469b877b9d39ccaecf5e0dc48f,f2aab5b65693bcae,V2_FRAME_DUP_00732,1,HARD_NEGATIVE_CONTEXT,car,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,5.8,970.187
aerial_frame_000022,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,22,0.734067,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000022.jpg,cc09d2b95ca2ffc5ba47f5bee6f88c8876b209a73e500aa9d02ca03cb6cfa4c5,f2aab5b65693bcae,V2_FRAME_DUP_00733,1,HARD_NEGATIVE_CONTEXT,car;truck,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,5.8,950.998
aerial_frame_000027,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,27,0.9009,Aerial,data/interim/v2_targeted_annotation/mined/aerial_frame_000027.jpg,a470084bec4438ff59c7c99443c75f3fabee041cdea3e8e3a2f4b2b11cb858c7,f2aabd965e919cae,V2_FRAME_DUP_00734,2,HARD_NEGATIVE_CONTEXT,car,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,REJECTED_NEAR_DUPLICATE,DUPLICATE_REDUCED:V2_FRAME_DUP_00734,NOT_ANNOTATED,6.1,908.303
aerial_frame_000030,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,30,1.001,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000030.jpg,4745d2288f84f8c76c9d9c0a0ff08f350291f9ad9e6468ab2dd7a076563d0934,f2aabd925e919cae,V2_FRAME_DUP_00734,2,SYSTEMATIC_TEMPORAL,car;truck,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC;SYSTEMATIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,7.4,889.152
aerial_frame_000034,pexels_9322363_aerial_busy_intersection,data/raw/videos/pexels_9322363_aerial_busy_intersection.mp4,34,1.134467,Aerial,data/interim/v2_targeted_annotation/images/aerial_frame_000034.jpg,c5b96512a3a2a942275704f9be2515872d56b39cdd3b717a75db20227b51d528,f2aabd925a91bcaf,V2_FRAME_DUP_00735,2,HARD_NEGATIVE_CONTEXT,car;truck,AERIAL_SMALL_OBJECT;DENSE_TRAFFIC;HARD_NEGATIVE;INTERSECTION;OCCLUSION,HEURISTIC,False,SELECTED_FOR_ANNOTATION,COVERAGE_BALANCED_DUPLICATE_REPRESENTATIVE,NOT_ANNOTATED,6.7,913.371
